0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.83253 1.85603 1.83822 1.83253 1.85603 1.83253 1.85073 1.83253 1.85073 1.85073 1.83253 1.83822 1.85073 1.85603 1.85009 1.83253 1
0.987112 0.987112 0.990892 0.991415 0.991415 0.990892 0.990892 0.987112 1.0131 0.991415 0.990892 0.987112 1.0131 1.00288 0.996282 0.987112 1
0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0
0 0 0 0 0 0 0 0 1.2894 1.19653 1.11002 0 1.31849 1.28682 1.24686 1.17433 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0
1.82768 1.84813 1.86236 1.82768 1.82768 1.86236 1.87353 1.84813 1.86299 1.85227 1.86299 1.82768 1.82768 1.8414 1.85227 1.83158 1
1.42061 1.42061 1.40733 1.40733 1.40733 1.43906 1.40733 1.48506 1.43285 1.40733 1.42806 1.52367 1.42061 1.42061 1.42806 1.48836 1
0 0.1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.05 0.1 0.1 0.05 0.05 0
0.859419 0.8554 0.859419 0.853986 0.853986 0.8526 0.847298 0.853061 0.833519 0.84075 0.847298 0.850406 0.832215 0.832235 0.836032 0.847298 1
4.96686 4.70318 4.71022 4.51802 4.90009 5.01236 4.78674 4.38167 6.16113 5.55699 4.78674 4.38775 3.13476 3.20457 3.20457 3.09283 1
0.97608 0.97403 0.99302 0.969901 0.977331 0.96788 0.983114 1.24146 0 0.973511 1.14736 1.27528 1.31262 1.24146 1.21667 1.29683 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2.0694 2.05326 2.13994 2.10689 2.08418 2.0694 2.0694 2.10689 2.05326 2.0694 2.05326 2.0694 2.0694 2.05326 2.0694 2.10682 1
1.12086 1.14032 1.12948 1.13377 1.12086 1.12086 1.12086 1.12948 1.13377 1.13377 1.14192 1.12086 1.12948 1.14192 1.12086 1.13377 1
